movieId,title,genres,date,link,img_path
1,Toy Story,Adventure|Animation|Children|Comedy|Fantasy,1995,https://www.imdb.com/title/tt0114709/?ref_=hm_tpks_tt_i_1_pd_tp1_pbr_ic,tt0114709.png
2,Jumanji,Adventure|Children|Fantasy,1995,https://www.imdb.com/title/tt0113497/?ref_=hm_tpks_tt_i_1_pd_tp2_pbr_ic,tt0113497.png
3,Grumpier Old Men,Comedy|Romance,1995,https://www.imdb.com/title/tt0113228/?ref_=hm_tpks_tt_i_1_pd_tp3_pbr_ic,tt0113228.png
4,Waiting to Exhale,Comedy|Drama|Romance,1995,https://www.imdb.com/title/tt0114885/?ref_=hm_tpks_tt_i_1_pd_tp4_pbr_ic,tt0114885.png
5,Father of the Bride Part II,Comedy,1995,https://www.imdb.com/title/tt0113041/?ref_=hm_tpks_tt_i_1_pd_tp5_pbr_ic,tt0113041.png
6,Heat,Action|Crime|Thriller,1995,https://www.imdb.com/title/tt0113277/?ref_=hm_tpks_tt_i_1_pd_tp6_pbr_ic,tt0113277.png
7,Sabrina,Comedy|Romance,1995,https://www.imdb.com/title/tt0114319/?ref_=hm_tpks_tt_i_1_pd_tp7_pbr_ic,tt0114319.png
8,Tom and Huck,Adventure|Children,1995,https://www.imdb.com/title/tt0112302/?ref_=hm_tpks_tt_i_1_pd_tp8_pbr_ic,tt0112302.png
9,Sudden Death,Action,1995,https://www.imdb.com/title/tt0114576/?ref_=hm_tpks_tt_i_1_pd_tp9_pbr_ic,tt0114576.png
10,GoldenEye,Action|Adventure|Thriller,1995,https://www.imdb.com/title/tt0113189/?ref_=hm_tpks_tt_i_1_pd_tp10_pbr_ic,tt0113189.png
11,"American President, The",Comedy|Drama|Romance,1995,https://www.imdb.com/title/tt0112346/?ref_=hm_tpks_tt_i_1_pd_tp11_pbr_ic,tt0112346.png
12,Dracula: Dead and Loving It,Comedy|Horror,1995,https://www.imdb.com/title/tt0112896/?ref_=hm_tpks_tt_i_1_pd_tp12_pbr_ic,tt0112896.png
